cddept,cdreseau,inseecommuneprinc,nomcommuneprinc,cdreseauamont,nomreseauamont,pourcentdebit,referenceprel,dateprel,heureprel,conclusionprel,ugelib,distrlib,moalib,plvconformitebacterio,plvconformitechimique,plvconformitereferencebact,plvconformitereferencechim
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200139721","2025-01-07","09h46","Eau agressive, de qualité conforme, par ailleurs, aux limites et références de qualité des eaux destinées à la consommation humaine. A améliorer.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","N"
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200139732","2025-01-27","08h49","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","S","C","S","C"
"072","072000066","72127","ETIVAL-LES-LE-MANS","","","","07200139823","2025-01-23","11h37","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SIDERM  ","SIDERM","SIDERM","C","C","C","C"
"072","072000066","72213","MULSANNE","072003592","LE MANS METROPOLE ESU","100 %","07200139825","2025-01-23","10h58","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","S","C","S","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139827","2025-02-11","08h54","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139828","2025-02-26","08h54","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139829","2025-02-13","09h49","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139830","2025-02-25","12h57","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139831","2025-02-27","09h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139832","2025-02-18","13h28","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139834","2025-02-14","08h57","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139835","2025-02-07","08h54","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139836","2025-02-21","14h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200139946","2025-02-12","11h11","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité pour l'équilibre calco-carbonique.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","N"
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200139947","2025-02-04","09h00","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","N"
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200139948","2025-02-24","09h07","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139949","2025-02-17","14h15","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139950","2025-02-05","08h21","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139951","2025-02-20","11h57","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139952","2025-02-10","11h52","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139953","2025-02-06","11h13","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139954","2025-02-19","08h33","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200139955","2025-02-03","08h35","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72003","ALLONNES","072003592","LE MANS METROPOLE ESU","100 %","07200140005","2025-02-20","10h53","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72008","ARNAGE","072003592","LE MANS METROPOLE ESU","100 %","07200140006","2025-02-28","09h36","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72095","COULAINES","072003592","LE MANS METROPOLE ESU","100 %","07200140007","2025-02-12","10h18","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72058","CHANGE","","","","07200140025","2025-02-24","09h25","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SIDERM  ","SIDERM","SIDERM","C","C","C","C"
"072","072000066","72213","MULSANNE","072003592","LE MANS METROPOLE ESU","100 %","07200140060","2025-02-27","09h41","Eau d'alimentation conforme aux limites de qualité. Du point de vue de s références on note le dépassement du paramètre fer. Les substances faisant l'objet de références de qualité n'ont pas d'in cidence directe pour la santé mais peuvent être à l'origine de désagré ment pour le consommateur (eau trouble par exemple dans le cas du fer) . Un recontrôle est programmé.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","N"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140167","2025-03-24","08h46","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140168","2025-03-21","10h13","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140169","2025-03-10","08h59","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140170","2025-03-20","08h32","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140171","2025-03-14","09h19","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140172","2025-03-27","10h45","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140174","2025-03-17","13h34","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140175","2025-03-25","09h06","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140176","2025-03-19","08h59","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140177","2025-03-05","08h36","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140178","2025-03-12","11h16","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140179","2025-03-18","08h43","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140180","2025-03-11","10h58","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140181","2025-03-05","10h26","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200140182","2025-03-26","08h42","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité en raison du caractère légèrement agressif d e l'eau (dureté). Sans risque sanitaire.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","N"
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200140183","2025-03-13","11h49","Eau d'alimentation conforme aux limites de qualité et non conforme aux références de qualité lié au caractère agressif de l'eau (dureté ). Sans risque sanitaire.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","N"
"072","072000066","72181","MANS (LE)","072003592","LE MANS METROPOLE ESU","100 %","07200140184","2025-03-06","10h32","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72181","MANS (LE)","072000053","USINE DE L'EPAU","","07200140185","2025-03-04","11h38","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72058","CHANGE","","","","07200140209","2025-03-24","09h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SIDERM  ","SIDERM","SIDERM","C","C","C","C"
"072","072000066","72127","ETIVAL-LES-LE-MANS","","","","07200140210","2025-03-06","09h14","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SIDERM  ","SIDERM","SIDERM","C","C","C","C"
"072","072000066","72003","ALLONNES","072003592","LE MANS METROPOLE ESU","100 %","07200140340","2025-03-26","11h25","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72008","ARNAGE","072003592","LE MANS METROPOLE ESU","100 %","07200140341","2025-03-21","08h03","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72054","CHAMPAGNE","072003592","LE MANS METROPOLE ESU","100 %","07200140342","2025-03-14","08h47","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72095","COULAINES","072003592","LE MANS METROPOLE ESU","100 %","07200140343","2025-03-10","08h42","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72257","ROUILLON","072003592","LE MANS METROPOLE ESU","100 %","07200140344","2025-03-03","08h42","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72386","YVRE-L'EVEQUE","072003592","LE MANS METROPOLE ESU","100 %","07200140357","2025-03-18","10h56","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000066","72360","TRANGE","072003592","LE MANS METROPOLE ESU","100 %","07200140367","2025-03-06","09h37","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","LE MANS METROPOLE","LE MANS METROPOLE","LE MANS METROPOLE","C","C","C","C"
"072","072000098","72141","GESNES-LE-GANDELIN","","","","07200139631","2025-01-20","10h36","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SIAEP CHAMPFLEUR-GESNES LE GANDELIN","SIAEP CHAMPFLEUR-GESNES LE GANDELIN","SIAEP CHAMPFLEUR-GESNES LE GANDELIN","C","C","C","C"
"072","072000098","72212","MOULINS-LE-CARBONNEL","072000096","RESERVOIR LE MINERAI","100 %","07200139867","2025-02-17","09h20","Eau d'alimentation conforme aux exigences de qualité en vigueur pour l'ensemble des paramètres mesurés.","SIAEP CHAMPFLEUR-GESNES LE GANDELIN","SIAEP CHAMPFLEUR-GESNES LE GANDELIN","SIAEP CHAMPFLEUR-GESNES LE GANDELIN","C","C","C","C"
